sg_uf,ano_arrecadacao,mes_arrecadacao,co_tipo_arrecadacao,va_arrecadacao,DATA_BASE
AC,2018,6,239,6530598.33,2018-06-01 00:00:00
AC,2018,6,249,0,2018-06-01 00:00:00
AC,2018,6,399,91882546.64,2018-06-01 00:00:00
AC,2018,6,409,6249380.05,2018-06-01 00:00:00
AC,2018,6,419,324054.77,2018-06-01 00:00:00
AC,2018,6,429,670451.7,2018-06-01 00:00:00
AC,2018,6,439,0,2018-06-01 00:00:00
AC,2018,6,499,7243886.52,2018-06-01 00:00:00
AC,2018,6,999,99126433.16,2018-06-01 00:00:00
AC,2018,7,119,78690.26,2018-07-01 00:00:00
AC,2018,7,129,13747299.65,2018-07-01 00:00:00
AC,2018,7,131,19516639.83,2018-07-01 00:00:00
AC,2018,7,132,20646393.12,2018-07-01 00:00:00
AC,2018,7,133,387996.57,2018-07-01 00:00:00
AC,2018,7,134,7175895.84,2018-07-01 00:00:00
AC,2018,7,135,6229954.1,2018-07-01 00:00:00
AC,2018,7,139,53956879.46,2018-07-01 00:00:00
AC,2018,7,211,0,2018-07-01 00:00:00
AC,2018,7,212,16904220.94,2018-07-01 00:00:00
AC,2018,7,219,16904220.94,2018-07-01 00:00:00
AC,2018,7,221,18056197.05,2018-07-01 00:00:00
AC,2018,7,222,4567100.01,2018-07-01 00:00:00
AC,2018,7,229,22623297.06,2018-07-01 00:00:00
AC,2018,7,239,6380632.69,2018-07-01 00:00:00
AC,2018,7,249,0,2018-07-01 00:00:00
AC,2018,7,399,113691020.06,2018-07-01 00:00:00
AC,2018,7,409,6671213.79,2018-07-01 00:00:00
AC,2018,7,419,407039.96,2018-07-01 00:00:00
AC,2018,7,429,797302.37,2018-07-01 00:00:00
AC,2018,7,439,0,2018-07-01 00:00:00
AC,2018,7,499,7875556.12,2018-07-01 00:00:00
AC,2018,7,999,121566576.18,2018-07-01 00:00:00
AC,2018,8,119,36850.9,2018-08-01 00:00:00
AC,2018,8,129,14919110.71,2018-08-01 00:00:00
AC,2018,8,131,19903958.93,2018-08-01 00:00:00
AC,2018,8,132,20832712.1,2018-08-01 00:00:00
AC,2018,8,133,366854.6,2018-08-01 00:00:00
AC,2018,8,134,6992165.35,2018-08-01 00:00:00
AC,2018,8,135,6441171.52,2018-08-01 00:00:00
AC,2018,8,139,54536862.5,2018-08-01 00:00:00
AC,2018,8,211,0,2018-08-01 00:00:00
AC,2018,8,212,13488404.07,2018-08-01 00:00:00
AC,2018,8,219,13488404.07,2018-08-01 00:00:00
AC,2018,8,221,17675912.94,2018-08-01 00:00:00
AC,2018,8,222,4561838.39,2018-08-01 00:00:00
AC,2018,8,229,22237751.33,2018-08-01 00:00:00
AC,2018,8,239,6716037.87,2018-08-01 00:00:00
AC,2018,8,249,0,2018-08-01 00:00:00
AC,2018,8,399,111935017.38,2018-08-01 00:00:00
AC,2018,8,409,6670870.08,2018-08-01 00:00:00
AC,2018,8,419,227851.74,2018-08-01 00:00:00
AC,2018,8,429,699993.28,2018-08-01 00:00:00
AC,2018,8,439,0,2018-08-01 00:00:00
AC,2018,8,499,7598715.1,2018-08-01 00:00:00
AC,2018,8,999,119533732.48,2018-08-01 00:00:00
AC,2018,9,119,106931.4,2018-09-01 00:00:00
AC,2018,9,129,15519975.61,2018-09-01 00:00:00
AC,2018,9,131,18121231.42,2018-09-01 00:00:00
AC,2018,9,132,19733173.09,2018-09-01 00:00:00
AC,2018,9,133,504689.87,2018-09-01 00:00:00
